,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
750,0,0,0,1,750,0,0,0,0,-,medeli akx10 ,vicen51,Araba,20/03/2022,29/09/2022,1/9/2022,1219,635
751,0,0,0,1,75,0,0,0,0,roland,tarjeta roland sr-jv80-01 pop ,Radioskaf,Barcelona,18/11/2021,12/09/2022,1/9/2022,473,916
752,0,0,0,1,550,0,0,0,0,nord modular ,g1+ midiman para el software de edicion por 550 euros ,Steinwurfmusic L,A Coruña,18/11/2021,13/10/2022,1/9/2022,296,1620
753,0,0,0,1,1200,0,0,0,0,yamaha,yamaha motif xf7 ,amseven,Cantabria,02/08/2022,26/09/2022,1/9/2022,358,751
754,0,0,0,1,4000,0,0,0,0,kawai,piano kawai ,jordi61,Barcelona,04/07/2022,02/09/2022,1/9/2022,256,639
755,0,0,0,1,389,0,0,0,0,arturia,arturia keylab 61 mkii ,moog1406,Girona,01/06/2022,04/10/2022,1/9/2022,442,637
756,0,0,0,1,70,0,0,0,0,audio,tip top audio rs 909 ,moog1406,Girona,16/12/2021,30/10/2022,1/9/2022,423,637
757,0,0,1,0,400,0,0,0,0,korg,korg triton le tambien y cartuchocasio cz ,Fran Belenguer,Valencia,10/04/2022,09/09/2022,1/9/2022,1529,1344
758,0,0,0,1,198,0,0,0,0,erica synths ,bass drums ,moog1406,Girona,25/11/2021,08/10/2022,1/9/2022,600,637
759,0,0,0,1,3200,0,0,0,0,0,yamaha genos 2 0 + funda scc profesional ,Raufex,Valladolid,01/09/2022,31/10/2022,1/9/2022,76,619
760,0,0,0,1,50,0,0,0,0,noise,doepfer a 118 noise ,moog1406,Girona,08/10/2021,08/10/2022,1/9/2022,423,637
761,0,0,0,1,240,0,0,0,0,roland,roland mc-303 ,Juan Ramos,Valencia,18/05/2022,19/09/2022,1/9/2022,748,944
762,0,0,0,1,340,0,0,0,0,-,bass station 2 ,clavinord,Madrid,25/08/2022,29/09/2022,1/9/2022,158,962
763,0,0,0,1,350,0,0,0,0,roland,soniccell roland ,Edaurdo,Madrid,13/12/2019,29/09/2022,1/9/2022,679,708
764,0,0,0,1,300,0,0,0,0,erica synths ,roland boutique tr-08 y pico vco2 ,dbxer,Baleares,08/07/2022,06/09/2022,1/9/2022,327,533
765,0,0,0,1,175,0,0,0,0,roland,teclado controlador roland a-800 pro ,Radioskaf,Barcelona,21/01/2022,12/09/2022,1/9/2022,765,916
766,0,0,0,1,3990,0,0,0,0,moog,moog minimoog voyager 50 anyversary edition ,moog1406,Girona,08/06/2022,08/10/2022,1/9/2022,718,637
767,1,0,1,0,0,0,0,0,0,eurorack,módulos eurorack ,Pablo M. - Sullibass,Zaragoza,25/08/2022,29/09/2022,1/9/2022,212,1704
768,0,0,0,1,1200,0,0,0,0,oberheim,sintetizador analógico oberheim matrix 6 ,grizzvolga,Madrid,25/07/2022,26/09/2022,1/9/2022,762,1103
769,0,0,0,1,519,0,0,0,0,roland,controlador midi roland a88 ivory feel ,AlvMad,Madrid,21/05/2022,28/09/2022,1/9/2022,802,565
770,0,0,1,0,1700,0,0,0,0,hammond,2 o por hammond sk pro reservado ,Ismael Esteban,Guadalajara,25/08/2022,24/10/2022,1/9/2022,144,1341
771,0,0,0,1,450,0,0,0,0,elektron,elektron analog heat ,Frack,Tarragona,31/08/2022,30/10/2022,1/9/2022,104,487
772,0,0,0,1,1449,0,0,0,0,arturia,arturia matrixbrute ,moog1406,Girona,08/07/2021,08/10/2022,1/9/2022,1058,637
773,0,0,0,1,250,0,0,0,0,korg,korg ms20 ic ,pattyco,Valencia,11/08/2022,10/10/2022,1/9/2022,322,772
774,0,0,0,1,2500,0,0,0,0,system,hammond xk-3 system ,facallema,A Coruña,11/08/2022,26/09/2022,1/9/2022,220,918
775,0,0,0,1,30,0,0,0,0,-,dsi prophet 08 - librería para ni kontakt y reason ,Zyon35,Córdoba,01/06/2022,18/09/2022,1/9/2022,266,536
776,0,0,1,0,0,0,0,0,0,virus,"virus ti soundbanks todos los bancos hasta la fecha "" ahora también con viper vst "" ",DeESser,Alicante,19/08/2018,10/09/2022,1/9/2022,4157,651
777,0,0,0,1,2495,0,0,0,0,roland,roland fantom 6 ,moog1406,Girona,28/04/2022,30/10/2022,1/9/2022,1015,637
778,0,0,0,1,550,0,0,0,0,elektron,elektron digitackt ,Sonitec,Valencia,11/08/2022,14/10/2022,1/9/2022,272,725
779,0,0,0,1,199,0,0,0,0,e-mu,proteus 2 e-mu systems 16 bit multi-timbral digital sound module xr ,bloson,Cuenca,18/01/2021,05/09/2022,1/9/2022,1696,653
780,0,0,0,1,295,0,0,0,0,korg,korg t3 workstation ,moog1406,Girona,10/05/2022,30/10/2022,1/9/2022,580,637
781,0,0,0,1,220,0,0,0,0,instruments,eurorack case de aluminio 3 filas 85hp + yarns mutable instruments ,javierdepascual,Madrid,18/04/2022,16/09/2022,1/9/2022,754,1587
782,0,0,1,0,750,0,0,0,0,nord electro ,2 quizás tb ,rubenmunoz12345,A Coruña,18/04/2022,01/10/2022,1/9/2022,286,1364
783,0,0,0,1,12,0,0,0,0,-,lote 10 revistas keyboard musica y tecnología ,Radius,Tarragona,11/07/2022,09/09/2022,1/9/2022,207,616
784,0,0,0,1,20,0,0,0,0,eurorack,banananuts pack befaco eurorack ,Blasting Modular,Barcelona,21/07/2022,19/09/2022,1/9/2022,228,1576
785,0,0,0,1,180,0,0,0,0,arturia,arturia drumbrute impact ,Jorge8989,Valencia,27/07/2022,25/09/2022,1/9/2022,474,729
786,0,0,0,1,750,0,0,0,0,yamaha,yamaha psr-s770 ,Antonio,Madrid,30/08/2022,29/10/2022,1/9/2022,92,728
787,0,0,0,1,180,0,0,0,0,-,sequenz standard-m-sv medium ,moog1406,Girona,22/12/2021,30/10/2022,1/9/2022,504,637
788,0,0,0,1,5,0,0,0,1,novation,"teclas y para roland, korg, yamaha, novation update 11 2 2022 ",Elver Galarga,Lugo,03/03/2015,24/09/2022,1/9/2022,17048,1229
789,0,0,0,1,100,0,0,0,0,volca,korg volca keys ,Alejandro M. Molina Amador,Málaga,13/07/2022,01/10/2022,1/9/2022,402,2335
790,0,0,0,1,1,0,0,0,0,elektron,packs de sonidos para máquinas elektron ,Zyon35,Córdoba,01/06/2022,29/09/2022,1/9/2022,678,536
791,0,0,0,1,1490,0,0,0,0,-,ferrofish a32 ad da converter ,moog1406,Girona,13/11/2020,30/09/2022,1/9/2022,1954,637
792,0,0,0,1,1800,0,0,0,0,yamaha,yamaha motif xs8 ,vicen51,Araba,23/09/2019,29/09/2022,1/9/2022,2332,635
793,0,0,0,1,45,0,0,0,0,-,tarjeta smart media 128mb mas adaptador ,int3rc0m,Madrid,01/09/2020,26/09/2022,1/9/2022,1534,752
794,0,0,0,1,145,0,0,0,0,roland,módulo pianos roland p-330 ,yoquese,Madrid,09/10/2021,26/09/2022,1/9/2022,978,779
795,0,0,0,1,100,0,0,0,0,-,soporte para teclado ,Carlos,Madrid,18/08/2022,19/10/2022,1/9/2022,218,612
796,0,0,0,1,490,0,0,0,0,alm busy ,akemie castle - circuits ,Alinter,Cádiz,10/06/2022,09/09/2022,1/9/2022,474,719
797,0,0,0,1,650,0,0,0,0,micro,waldorf micro q keyboard ,sergiommms,A Coruña,16/04/2022,30/09/2022,1/9/2022,958,1091
798,0,0,0,1,600,0,0,0,0,kurzweil,kurzweil pc3 le8 ,erissoma,Madrid,16/05/2021,13/09/2022,1/9/2022,1308,867
799,0,0,0,1,90,0,0,0,0,doepfer,doepfer a-142-2 vca dual con adsr y ducking ,Pablo M. - Sullibass,Zaragoza,25/08/2022,29/09/2022,1/9/2022,136,1704
800,0,0,0,1,150,0,0,0,0,-,groovebox mc 303 ,alcachofazul,Madrid,29/07/2022,14/09/2022,1/9/2022,366,1261
801,0,0,0,1,150,0,0,0,0,arturia,arturia beat step pro ,evano,Barcelona,31/08/2022,30/10/2022,1/9/2022,62,537
802,0,1,0,0,0,0,0,0,0,-,proteus 2000 máximo 200€ ,CreativeStudio,Madrid,17/07/2022,24/09/2022,1/9/2022,422,1451
803,0,1,0,0,0,0,0,0,0,arturia,arturia microbrute ,sholme,Córdoba,18/08/2022,18/10/2022,1/9/2022,80,648
804,0,0,0,1,490,0,0,0,0,odyssey,korg arp odyssey ,moog1406,Girona,12/11/2021,08/10/2022,1/9/2022,1096,637
805,0,0,0,1,250,0,0,0,0,akai,akai s3000xl ,Dave,Almería,01/07/2022,01/10/2022,1/9/2022,968,384
